model,feature_set,pr_auc_mean,pr_auc_std,recall_mean,f1_mean,roc_auc_mean
Random Forest,A,0.20675360411022062,0.006700428057348296,0.6462814802964022,0.2661074792219301,0.659730895786184
MLP,A,0.20348357049729837,0.00987149211458729,0.008670809048733392,0.01694698130915279,0.6554569036555782
Logistic Regression,A,0.20225252388737372,0.006217142742601928,0.5760651786495636,0.2691185403423432,0.657251433890363
Linear SVM,A,0.20015892956569123,0.006315054194311991,0.5785665415677969,0.2676089548335919,0.6564309163345559
Decision Tree,A,0.19053968340652733,0.005331682263941068,0.654049442230549,0.2619815996557674,0.6494087888422578
Naive Bayes,A,0.1752957489186371,0.005034699031884137,0.00011117287381878821,0.00022148394241417496,0.6391911776165056
Random Forest,B,0.20561203577202192,0.006910797858226954,0.6289479608937218,0.26726437833131095,0.6599399558473034
Logistic Regression,B,0.20253857066054387,0.0066300809297965176,0.5714423800119727,0.269125597574334,0.6580770742102224
Linear SVM,B,0.20041703367971117,0.006709186471461511,0.574230614058753,0.2685697110869726,0.6573358037594967
Decision Tree,B,0.191289087214431,0.005526341823362464,0.6477144863207455,0.26376359995358584,0.6510371927263168
MLP,B,0.18870589400810162,0.01183389907639743,0.0049387146312232484,0.009725290738722586,0.6370369754173979
Naive Bayes,B,0.17509908808385594,0.004335638631438115,0.0007720401389252504,0.0015376178913946745,0.6367972610559527
