model,parameter,value,pr_auc_mean,pr_auc_std,recall_mean,f1_mean,roc_auc_mean
Logistic Regression,C,0.01,0.21443986482868804,0.007738795775846611,0.5470863614664646,0.2731677410721925,0.6517911465501122
Logistic Regression,C,0.1,0.21246095457179703,0.006590583661429795,0.5435532749204203,0.2698552331296991,0.6493697308856244
Logistic Regression,C,1.0,0.2118878551847366,0.006315057650704791,0.5478315233129427,0.2704324642578208,0.6489434916781304
Logistic Regression,C,10.0,0.21175316851241424,0.0062617014972173955,0.547345291678665,0.269843513597366,0.6486541974384928
Linear SVM,C,0.001,0.21224669168652277,0.00810395731558074,0.5475780035510269,0.2713640310779852,0.6516406221466303
Linear SVM,C,0.01,0.20997202500432907,0.00689515028304202,0.5471565044697994,0.26993928056052474,0.6491426760237736
Linear SVM,C,0.1,0.20909263654726062,0.006488780806677289,0.5505701128987276,0.2702988315784403,0.6488211674871639
Linear SVM,C,1.0,0.20896603874076883,0.006511496008097689,0.5511210770860554,0.2702232223115805,0.6485271951162549
Multinomial Naive Bayes,alpha,0.1,0.1905456783457853,0.016989960688346857,0.01834960465076348,0.03452389660573945,0.6298480132712297
Multinomial Naive Bayes,alpha,1.0,0.1906496102997278,0.01733547343006884,0.01939221092265374,0.0364906085082183,0.6293915917328324
Multinomial Naive Bayes,alpha,5.0,0.18977873970137005,0.018110833217659304,0.022028387653762093,0.041208807904807083,0.6255709121414126
Multinomial Naive Bayes,alpha,10.0,0.18767696018973248,0.01848602135026806,0.026317456946853907,0.04886144890028493,0.6219826316131787
Decision Tree,max_depth,4,0.18289575383465673,0.009475912829414406,0.5924807947967429,0.26113518939460884,0.6300773728704094
Decision Tree,max_depth,8,0.16244473989804428,0.006814425031773804,0.5393063999575357,0.24146623451883673,0.5894213423098468
Decision Tree,max_depth,12,0.15833462474513424,0.005813102571408159,0.5030208400623148,0.22811013758003273,0.5726143019193165
Decision Tree,max_depth,20,0.1544828082018675,0.005239222658705628,0.4542289671438437,0.2160542088577574,0.5670402411793645
Random Forest,max_depth,6,0.21834997256354338,0.008533883364740133,0.5256718098795433,0.2700519757550121,0.6573631183508786
Random Forest,max_depth,12,0.2158414657262798,0.00942225674004012,0.32094505803446083,0.25892984213729625,0.6524943447186754
Random Forest,max_depth,20,0.21498462678879823,0.009261565611729897,0.25206450639942024,0.24304220801064727,0.6486699111629154
MLP,hidden_layer_sizes,"(16,)",0.1866210920747878,0.014203613098740034,0.023033506474392455,0.042861324952399756,0.6023099780958275
MLP,hidden_layer_sizes,"(32,)",0.1850970011069576,0.028039045481130367,0.010053064839870954,0.01943322925125718,0.5955092902291331
MLP,hidden_layer_sizes,"(64,)",0.2022932647166099,0.004676793536055152,0.019749170301197827,0.03781255648266352,0.6310116637183855
