model,feature_set,pr_auc_mean,pr_auc_std,recall_mean,f1_mean,roc_auc_mean
Random Forest,A,0.20064059186645533,0.007894965225411804,0.5033845977478301,0.25583680089818384,0.6403886647466852
MLP,A,0.1990087377554009,0.006039050378358996,0.010143653973743652,0.019837820650659147,0.639171897518783
Logistic Regression,A,0.19703309068511113,0.005210062303512639,0.5106033605601751,0.25429654800798046,0.6389663410469134
Linear SVM,A,0.1956798456917787,0.0050984577248750435,0.5133435324050115,0.2542393793525627,0.6384146030125906
Decision Tree,A,0.18259400514240243,0.006147580510873868,0.5138653597566131,0.2523126977465032,0.6298406145563319
Naive Bayes,A,0.17410683716931724,0.006393295319778191,0.00022082199662580576,0.0004405447981720788,0.6168683876815871
Random Forest,B,0.19942644117914254,0.007602812214035679,0.5091713335267168,0.25552636336843765,0.6408758395295264
Logistic Regression,B,0.1974976876959931,0.0062465198295863856,0.5186912239056631,0.25512027988550157,0.6401594087768646
Linear SVM,B,0.1961001003798332,0.006266293061133825,0.5218870184814179,0.2557145841654235,0.6396428272066251
MLP,B,0.18878870182490864,0.008662329968457836,0.008716233958054218,0.017090078418671235,0.6191765132540977
Decision Tree,B,0.18253721200369305,0.006254520950741751,0.5138653597566131,0.2523126977465032,0.6302101751649667
Naive Bayes,B,0.17255001062151776,0.0066335235666130496,0.0009990321133573233,0.0019753697957181487,0.6151032857099479
