subgroup_variable,subgroup,subgroup_order,n_actual_positive,false_negatives,false_negative_rate,share_of_all_positives,share_of_all_false_negatives,false_negative_representation_ratio
Admission source,Emergency Room,0,1275,563,0.4415686274509804,0.5691964285714286,0.5184162062615101,0.9107861192359079
Admission source,Referral,1,692,371,0.5361271676300579,0.30892857142857144,0.3416206261510129,1.1058239921651285
Admission source,Transfer,2,115,57,0.4956521739130435,0.05133928571428571,0.052486187845303865,1.022339658899832
Admission source,Other/Unknown,3,158,95,0.6012658227848101,0.07053571428571428,0.08747697974217311,1.240179965964986
Age group,<50,0,339,166,0.4896755162241888,0.1513392857142857,0.15285451197053407,1.0100121144955645
Age group,50-60,1,341,160,0.46920821114369504,0.15223214285714284,0.14732965009208104,0.9677959419538462
Age group,60-70,2,486,270,0.5555555555555556,0.21696428571428572,0.24861878453038674,1.1458972784939636
Age group,70-80,3,603,278,0.46102819237147596,0.26919642857142856,0.2559852670349908,0.9509237117054385
Age group,80+,4,471,212,0.45010615711252655,0.21026785714285715,0.19521178637200737,0.9283957568435169
Race group,Caucasian,0,1731,839,0.4846909300982091,0.7727678571428571,0.7725598526703499,0.9997308318784424
Race group,AfricanAmerican,1,417,203,0.486810551558753,0.1861607142857143,0.1869244935543278,1.0041027951119768
Race group,Other/Unknown,2,92,44,0.4782608695652174,0.04107142857142857,0.040515653775322284,0.9864680919208904
