subgroup_variable,subgroup,subgroup_order,low_positive_support,n,n_positive,n_negative,positive_rate,true_positive,false_negative,false_positive,true_negative,recall_30d,false_negative_rate,precision_30d,f1_30d,specificity,false_positive_rate,predicted_positive_rate,mean_predicted_risk,median_predicted_risk,accuracy,pr_auc,roc_auc
Admission source,Emergency Room,0,False,11153,1275,9878,0.11431901730476104,813,462,4347,5531,0.6376470588235295,0.3623529411764706,0.15755813953488373,0.2526806526806527,0.5599311601538773,0.4400688398461227,0.46265578768044474,0.4824570426435114,0.47719842442926463,0.5688155653187483,0.19608227954120366,0.6476172441035535
Admission source,Referral,1,False,6072,692,5380,0.11396574440052701,399,293,1834,3546,0.5765895953757225,0.4234104046242775,0.1786833855799373,0.27282051282051284,0.6591078066914499,0.3408921933085502,0.3677536231884058,0.4572313458932243,0.4345150193422961,0.6497035573122529,0.20727583836179836,0.6578891527171927
Admission source,Transfer,2,False,1253,115,1138,0.09177972865123703,76,39,433,705,0.6608695652173913,0.3391304347826087,0.14931237721021612,0.24358974358974358,0.6195079086115993,0.3804920913884007,0.4062250598563448,0.46113861276045165,0.45728075015827835,0.6233040702314445,0.17674313730002775,0.6695804997325591
Admission source,Other/Unknown,3,False,1397,158,1239,0.11309949892627058,90,68,517,722,0.569620253164557,0.43037974683544306,0.14827018121911037,0.23529411764705882,0.58272800645682,0.41727199354318,0.4345025053686471,0.4780972535965754,0.47644217118812593,0.5812455261274159,0.20344097888536733,0.6308067960073968
Age group,<50,0,False,3124,339,2785,0.10851472471190782,207,132,874,1911,0.6106194690265486,0.3893805309734513,0.19148936170212766,0.2915492957746479,0.6861759425493716,0.31382405745062836,0.3460307298335467,0.45460991625022024,0.4192569111620774,0.6779769526248399,0.24257433740707396,0.7007176032580777
Age group,50-60,1,False,3431,341,3090,0.09938793354707083,214,127,998,2092,0.6275659824046921,0.3724340175953079,0.17656765676567657,0.2755956213779781,0.6770226537216828,0.32297734627831715,0.35324978140483826,0.45235076587675294,0.42041711477608357,0.6721072573593705,0.2347545888614876,0.7018980914690278
Age group,60-70,2,False,4433,486,3947,0.10963230318069028,260,226,1479,2468,0.5349794238683128,0.46502057613168724,0.14951121334100057,0.23370786516853934,0.6252850266024829,0.3747149733975171,0.3922851342206181,0.4676575539212191,0.44586158809594456,0.6153846153846154,0.16071168510374084,0.6216061372861192
Age group,70-80,3,False,5041,603,4438,0.11961912318984329,374,229,2001,2437,0.6202321724709784,0.37976782752902155,0.15747368421052632,0.2511752854264607,0.5491212257773772,0.4508787742226228,0.47113667923031144,0.48368793594849935,0.484082314314329,0.5576274548700655,0.19799544124506652,0.6236296361066832
Age group,80+,4,False,3846,471,3375,0.12246489859594384,323,148,1779,1596,0.6857749469214437,0.31422505307855625,0.15366317792578496,0.2510687912942091,0.4728888888888889,0.5271111111111111,0.5465418616744669,0.4990241799771256,0.5122830240759078,0.49895995839833596,0.1694518645391171,0.6138925847291028
Race group,Caucasian,0,False,14858,1731,13127,0.11650289406380401,1070,661,5407,7720,0.6181398035817447,0.38186019641825536,0.16519993824301374,0.26072124756335285,0.5881008608212082,0.4118991391787918,0.43592677345537756,0.4754054223209058,0.468954980118051,0.5916004845874276,0.20498143362000795,0.6473911686291637
Race group,AfricanAmerican,1,False,3787,417,3370,0.11011354634275151,251,166,1383,1987,0.6019184652278178,0.3980815347721823,0.1536107711138311,0.24475865431496832,0.5896142433234421,0.41038575667655786,0.43147610245576973,0.47287466699401853,0.4559031072246444,0.5909691048323211,0.1705968494330355,0.6432309345402016
Race group,Other/Unknown,2,False,1230,92,1138,0.07479674796747968,57,35,341,797,0.6195652173913043,0.3804347826086957,0.14321608040201006,0.23265306122448978,0.7003514938488576,0.29964850615114236,0.3235772357723577,0.44594353266636977,0.41763054277828204,0.6943089430894309,0.17147764485650951,0.7058722396271109
